file,artist,title,year,lyrics,mood
TRAMVBZ12903CB2635.h5,Dean Martin,Pennies From Heaven,1997,"Every time it rains
Pennies from heaven
Don't you know each cloud contains
Pennies from heaven

You'll find your fortune falling
All over town
Be sure that your umbrella
Is upside down

Trade them for a package of
Sunshine and flowers
And if you want the things you love
You must have showers

So, when you hear it thunder
Don't run under a tree
They'll be pennies from heaven
For you and me",sad
TRAYGHE12903CD213E.h5,The Prodigy,What Evil Lurks,1991,"What evil lurks in the hearts of men

Hold the beat
Stop the beat
Drop the beat

Come on y'all
Come on y'all
Come on y'all
Come on y'all
Come on y'all
Come on y'all
Come on y'all

Hold the beat
Stop the beat
Drop the beat

What evil lurks in the hearts of men

Hold the beat
Stop the beat
Drop the beat

Come on y'all
Come on y'all
Come on y'all
Come on y'all
Come on y'all
Come on y'all
  (What evil lurks in the hearts of men)
Come on y'all
Come on y'all

What evil lurks in the hearts of men

Hold the beat
Stop the beat
Drop the beat

What evil lurks in the hearts of men

What evil lurks in the hearts of men",sad
TRAEBSY128E07873C0.h5,Del Tha Funkee Homosapien,Mistadobalina,1991,"Oh. I know I'm drunk man.
Ladies and gentleman I forgot my favorite man sittin' over there.
His name is:
Mistadobalina
Mistabobdobalina
Mistadobalina
Mistabobdobalina
Mistadobalina
Mistabobdobalina
Mistadobalina
Mistabobdobalina
Mistadobalina
Mistabobdobalina
Mistadobalina
Mistabobdobalina
Mistadobalina
Mistabobdobalina
Mistabobdobalina!

1:
Mistadobalina, Mistabobdobalina
Mistabobdobalina won't you quit?
You really make me sick wit your porgalit behavior
Your daughter make me feelin' that a army couldn't save ya
Why don't you behave you little Rugrat?
Take a little tip from the tabloid
Because I know I'm not paranoid
When I say I saw ya tryin to mock me
Now you in your car on a mission tryin ta hawk me
But it isn't happenin' you porgalit pose
You used to front bigtime now I suppose
That everything's cool since the style of the pair you adopted
You used to make fun of, but now you want to rock it
Don't you gotta kick it wit tha homies?
But del is already hipped to your cronies
But ded rocks like we never have seen her
But nobody rocks like Mista... Mista... Mistadobalina

2: Ooh! Ooh! Mistadobalina
You thought you could manipulate, you thought you could fool me
Ooh! Ooh! Mistadobalina
Teach wizard put me on the stump but then he schooled me
Kids could be frogilante, just wait and see
First he was my money grip, then he stole my honey dip
Mistadobalina is a serpent, don't you agree?
The little two-timer
rezembles Anja Mama
wit jeans and a dirty, white hoody
he seems like he wouldn't be a snake, or would he?
disguizes come in all sizes and shapes
notice the nice side of snakes
last year all the fans teach you
took a lot of time before the del could see through
the mask, all I had to do was ask the hemfera and quama
my crew soon found out they were bamay
porgalit bowl with the strength of Hurcules
the way you on my **** must really hurt your knees
you need to take me and quit bein a groupie
ever since I did a little show in Bataloopie
I never saw a groupie like you
but what is funny is you wanted to be down wit my crew
but del is not down wit any clowns of justice
just this is to impress the Professor Dobalina
because you don't impress me Dobalina
the stlye of justice is not the key Dobalina
It's all in the mind, and the heart so you should start
by rememberin' you got ta pay a fee Dobalina

Ooh! Ooh! Mistadobalina
Ooh! Ooh! Mistadobalina
Ooh! Ooh! Mistadobalina
Ooh! Ooh! Mistadobalina
Ooh! Ooh Mistadobalina
Ooh! Ooh! Mistadobalina
Ooh! Ooh! Mistadobalina",happy
TRAVBAH128F9305DFC.h5,Helmet,Give It,1992,"Killing hurts, has to be done
Peace and love, who's number one
The right to give, learn to bleed it's free
Pain is outside, lift it up to see

Step ahead, always wear the past
Dying soothe me beneath the smell of grass
No world secret kept is too intent
I've got my nerve, self help, self help confidence

The confidence, the confidence, the confidence

The confidence, the confidence, the confidence",sad
TRANQYI12903CA2BA9.h5,Taking Dawn,Black Diamond,2010,"Out on the street for a living
Picture's only begun
Got you under their thumb

You wanted the best?
You got the best
Hit it

Out on the streets for a living
Picture's only begun
Your day is sorrow and madness
Got you under their thumb

Whoo, black diamond
Whoo, black diamond

Darkness will fall on the city
It seems to follow you too
And though you don't ask for pity
There's nothin' that you can do

Whoo, black diamond
Whoo, black diamond

Out on the streets for a living
Picture's only begun
Your day is sorrow and madness
Got you under their thumb

Whoo, black diamond, yeah
Whoo, black diamond",sad
TRASKII128F92FA33E.h5,The Ataris,Whatever Lies Will Help You Rest,2006,"Ataris
Welcome the Night
Whatever Lies Will Help You Rest

While Kansas city sleeps
cloaked in the twilight of this valley
at this church cross standing
roadside from a tree
I keep driving to the most desolate seclusions
my blackest secrets still imprison me
and why don't we say what we really feel?

Whenever things are at their best...
whatever lies will help you rest
whenever things are at their best...
why do we wait for it to fall apart?
fall apart

Welcome to the after-taste
of cheap wine and bad decisions
my heart trembles in this morning prayer
I can't turn my eyes
from this inner most seductions
but still somehow you found me there
and why don't we say what we really feel?

Whenever things are at their best...
whatever lies will help you rest
whenever things are at their best...
why do we wait for it to fall apart?

It's my mistake to say
I'm not the world safest bet
I've never been too good at being good
and its probably sad to say...

Whenever things are at their best...
whatever lies will help you rest
whenever things are at their best...
why do we wait for it to fall apart?

Whenever things are at their best...
whatever lies will help you rest
whenever things are at their best...
why do we wait for it to fall apart?",sad
TRAVRPL128F145E874.h5,Lifer,Breathless,2001,"offended by my obscenity
mouthful of soap cleansing me
asking for a little empathy
mouth is stained, please let me

breathe
don't breathe
don't breathe
i can't breathe
breathe
don't breathe
don't breathe
i can't breathe

i am suffocating
i am suffocating
i am suffocating
i am so frustrated

drowning in my insecurity
i am on my hands and knees
begging for a little sympathy
begging you to help me

breathe
don't breathe
don't breathe
i can't breathe
breathe
don't breathe
don't breathe
i can't breathe

i am suffocating
i am suffocating
i am suffocating
i am so frustrated

i am suffocating
i am suffocating
i am suffocating
i am so frustrated",sad
TRADJGI128F148B0F6.h5,Jonny Lang,The One I Got,2003,"She said, ""Hey hello there""
As her eyes were dancing all around me
She told me her name sweetly
It felt like I knew her like I never knew someone before

Well, I found her now I can stop holding my breath
I tell all my friends over and over again

I said, ""There ain't no woman like the one I've got
Yes I know, yes I know""
I said, ""There ain't no woman like the one I've got
Yes I know, yes I know"", that's right

Whatever you need just tell me
And I'll do all I can to please you
Yes, I don't mind where you lead me
'Cause anywhere you go girl is everywhere I want to be

Oh, I never felt so high
It feels real for the very first time

'Cause there ain't no woman like the one I've got
Yes I know, yes I know
I said there ain't no woman like the one I've got
Yes I know, yes I know

There was a time when my heart was dragging on the floor
And I thank God for the day that I saw your face
And you smiled at me and you took my hand
And you stole my heart away

Lost all my friends
'Cause I ain't got time left for them

Because there ain't no woman like the one I've got
Yes I know, yes I know
Because there ain't no feeling like the one I've got
Yes I know, yes I know
There ain't no one like the one I've got
There ain't no one like the one I've got, baby",happy
TRBDNZI128F14A9065.h5,Foghat,Zig-Zag Walk,1983,"Dave Peverett - Pevwrite Music - ASCAP




The way you walk ain't walkin', it's something mama don't allow.
Let your hips do the talkin', and pretend you don't know how.
Ruby red, oh baby blue,
Heaven knows what I can for you,
When you're out there, doin' the Zig-Zag Walk.

Stiletto heels in stockin's, trace the seam up to the top.
And you're daring me to touch you, but I won't know where to stop.
A little rude, that's what you say,
It must be hard to keep the wolves at bay,
When you're out there, doin' the Zig-Zag Walk.

Zig-zag, well it's my kinda move,
Big drag if I can't cut the groove,
No stone gonna be unturned,
When you're walkin', walkin' and a-talkin',
Baby, doin' the Zig-Zag Walk.
Uh, doin' that walk.

The way we love ain't lovin', don't do nothin' for my heart.
Just a physical attraction, you're the bulls-eye - I'm the dart.
At least I know the way you feel,
Don't care nothing for a love that's real,
When you're out there, doin' the Zig-Zag Walk.

Zig-zag, walk like Marilyn Monroe,
Zig-zag, talk like Brigitte Bardot,
No stone gonna be unturned,
When you're out there, walkin' and a talkin',
Baby, doin' the Zig-Zag Walk.

I said baby, doin' the Zig-Zag Walk,
Doin' that walk...
Mmmm, fontastique!
Ooh la la la!
?
She's doing that walk
The Zig-Zag Walk...",happy
TRAAKDF128F92FA302.h5,Foo Fighters,Hell,2005,"This state I'm in
A place I've never been
I'm dyin' to meet you here

Come break this skin
I'll let you sink right in
And show you everythin'
See you in hell

We'll gather around the fire
And I will lead the choir
Sing farewell
See you in hell

Don't break my spell
We'll drown the wishin' well
We'll find some time to kill

I'll be right there
The buzz inside your head
The horrible electric chair
See you in hell

We'll gather around the fire
And I will lead the choir
Sing farewell
See you in hell",sad
TRAHFOU128F42B3F2A.h5,Rakim,Outro,1997,"What is, the one, main thing that you have
That you would want people to remember you by?
Or not one but the, those things that are dear to you
That you would, want to be remembered as

I guess, I guess it's my words man, you know what I mean?
Just my words, and, if people remember my words
They'll remember me forever you know?
God by nature mind raised in Asia, you know?

But umm, it's like you know to live forever you you you gotta
Set you know, not not set trends but you gotta
Apply yourself a certain way and you gotta do certain things you know?
Maybe, maybe when I'm gone twenty years from now
Somebody might be tellin', tellin' they little son
""Oh yo you think shorty bad? Yo I 'member this cat way back
In like nineteen-ninety, kid named Rakim, bananas""

You know what I'm sayin'?
If that can happen man, I'm aight man, you know?
I got, I got, I got kids you know?
They gonna, they gonna umm, finish this for
Me anyway you know what I'm sayin'?
So regardless, you know the legacy lives
But umm as far as the masses just remember my words straight up",sad
TRAFZIM128F427D344.h5,Bad Brains,Riot Squad (1991 Digital Remaster),1983,"You, you better get ready.
You better hold steady.
They can't control this angry mob.
They'll have to call the Riot Squad.
Riot Squad.
They'll have to call the Riot
They'll have to call the Riot Squad.",sad
TRAQAIW12903C9B61E.h5,Belle and Sebastian,I Could Be Dreaming,1996,"Belle And Sebastian
Tigermilk
I Could Be Dreaming
I could be dreaming
I could have ordinary people chasing me from town to town
Mission Impossible
They've got a spy for every blink of your eye 

I'm feeling hunted
I'm feeling haunted
They've got a knife for every time you take the same train into work
A family's like a loaded gun
You point it in the wrong direction someone's going to get killed

If you had such a dream
Would you get up and do the things you've been dreaming

Is he your husband?
Or just your boyfriend?
Is he the moron who's been beating you and keeping you inside?
I've never done this kind of thing
But if I kill him now, who's going to miss him?

I went up to the school
I went up Castlehill
For every step there is a local boy who wants to be a hero
Do you want to do it now?
Outside the butchers with a knife and a bike chain",happy
TRBBAHD128F428E0FE.h5,Tones On Tail,Burning Skies,1987,"And the air was alive
With piercing sound
And burning skies
The horror did me good

The magic was on my side
And hot and cold ideas
Were running onto your eyes
Your sinking gray eyes

She shook his head
Like so much meat
The horror did me good
Time to exercise

Like ice about to melt
You empty yourself of everything
It's cold and gray again
Your body begins to fall

The color blinds your eyes
The flavor dulls your taste of anything
You try to break out
But some thing's just locked the door

You'll get blue eyes
If you stand too close to him
And la la la, la,la
You die inside your dream

I love you like you
Love me not
I love you like you
love me not

I love you like you
Love me not
I love you like you
love me not

I love you like you
Love me not
I love you like you
love me not",sad
TRAFAID128F4243DAF.h5,Heaven 17,Resurrection Man,1996,"Heaven 17
Miscellaneous
RESURRECTION MAN



Do you feel disturbance ?
A disturbance hits the news
You can't dismiss it or ignore it
And you've waited so long for it
It's the winner's turn to lose
(We can't wait another day)

In Paris and Geneve
In Frankfurt and Berlin
In London, Rome and Lisbon
A crisis will begin
Do you feel anticipation ?
Do you feel you're being used ?
It's the resurrection showdown
It's the winners turn to lose 

Let's go all the way
There's a target to destroy
Let's go all the way
There's an army to deploy
Let's go all the way
You're free to make a choice
Are you ready ?
Let's say it now with just one voice 

Change, Change, Change
I'm the resurrection man
Let's go all the way
Reach out and touch my hand
Let's go all the way
You know somebody's got to pay
Get ready
Get ready for the judgement day 


This is a song of independence
You think you've seen it all before
I know you run and try and hide it
And sometimes you might deny it
But you've got a taste for more
(Isn't that worth fighting for ?) 

Let's go all the way
Can't you see that we've had enough
Let's go all the way
Before the going gets too rough
Let's go all the way
You're free to use your voice
Are you ready ?
Win or lose you have a choice 

Change, Change, Change
There's a target to destroy
Let's go all the way
There's an army to deploy
Let's go all the way
Someone has got to pay
Get ready
Let's say it now with just one voice 

Change, Change, Change
I'm the resurrection man
Let's go all the way
Reach out and touch my hand
Let's go all the way
There's nothing more to say
Are you ready
Get ready for the judgement day",happy
TRABAZH128F930419A.h5,Glad,Blessed Assurance,1993,"Blessed assurance, Jesus is mine!
Oh, what a foretaste of glory divine!
Heir of salvation, purchase of God
Born of His Spirit, washed in His blood
Washed in His blood, washed in His blood
This is my story, this is my song
Praising my Savior all the day long
This is my story, this is my song
Praising my Savior all the day long
This is my story, this is my song
Perfect submission, perfect delight
Visions of rapture now burst on my sight
Angels descending bring from above
Echoes of mercy, whispers of love
This is my story, this is my song
Praising my Savior all the day long
This is my story, this is my song
Praising my Savior all the day long, all the day long
Perfect submission, all is at rest
I in my Savior am happy and blest
Watching and waiting, looking above
Filled with His goodness, filled with His goodness lost in His love
This is my story, this is my song
Praising my Savior all the day long
This is my story, this is my song
Praising my Savior all the day long, all the day long
Blessed assurance, Jesus is mine!
This is my story, this is my song",happy
TRAGNBQ128F149CB93.h5,Fall Out Boy,The Carpal Tunnel Of Love,2007,"We take sour sips from life's lush lips
And we shake, shake, shake the hips in relationships
Stomp out this disaster town
You'll put your eyes to the sun and say, I know
You're only blinding to keep back what the clouds are hiding
And we might've started singing just a little soon
We're throwing stones at a glass moon
Whoa oh
We're so miserable and stunning

Whoa oh
Love songs for the genuinely cunning
Whoa-oh

We keep the beat with your blistered feet
And we bullet the words at the mockingbirds singing
Slept through the weekend and dreaming
Of sinking with the melody of the cliffs of eternity
Got postcards from my former selves saying how've you been
We might've said goodbyes just a little soon
(Stomp out this disaster town)
Robbing lips and kissing banks under this moon
Whoa oh
We're so miserable and stunning
Whoa oh

Love songs for the genuinely cunning
Whoa oh
We're so miserable and stunning
Whoa oh

Love songs for the genuinely cunning
Oh
It was ice cream headaches and sweet avalanche
When the pearls in our shells got up to dance
You call me a bad tipper of the cradle
Tired yawns for fawns on hunter's lawns
We're the has-beens of husbands
Sharpening the knives of young wives

Take two years and call me when you're better
Take teardrops of mine, find yourself wetter
Whoa oh
We're so miserable and stunning
Whoa oh
Love songs for the genuinely cunning
Whoa oh
We're so miserable and stunning
Whoa oh
Love songs for the genuinely cunning",happy
TRACYPF128F9338DE0.h5,Maximilian Hecker,Full Of Voices,2005,"My head breaks down
My head bursts in you
Full of gestures
My face breaks down
My face bursts in you

On some blue
Light green fields
On a long, leaking road
I confess there's no course
That could lead me to you

Pictures of her
In those booklets
Crawling in my head
Trolleys, madness
Songs of coastguards
Can't relieve my speed",sad
TRACEDP128F145F7BB.h5,Dave Hollister,Tell Me Why,2006,"After all I've done for you, the things you say, the things you do the way you
treat me. I don't deserve this. I brought you from nothing and turn you into
something and this the thanks I get, damn.

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

All the things that I did for you how could you (why) just go and change up
your ways girl what did I do (why) for you just be so cold to me mean to me
(why) why you trying to say things that hurt feelings (why, why) when you know
I'm giving you all of me (why, why) when you know I'm giving you everything
(why, why) why you keep coming at me so wrong baby all I want to know is

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

Baby girl tell me why is always about you (why) baby why, why you doing the
things you do (why) why you always cussing at me fussing at me (why) I don't
deserve the way you speaking to me (why, why) when you know I'm giving you all
of me (why, why) when you know I'm giving you everything (why, why) why you
keep coming at me so wrong baby all I want to know is

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

Girl I tried to just be cool with you, you keep trying to play me like a fool
why do you, keep on testing me constantly seems like you always been ten about
something ain't no reason for you to trip ain't no reason for you to always act
like this baby girl I just don't understand

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try

Tell me why you say things you don't really mean
Tell me why you always wanna fight with me
When I gave you everything
Tell me why you wanna be so mean
Tell me why you wanna say theses things
Baby girl I don't understand why
Why should I even try",sad
TRANIUD12903CCE692.h5,Jah Cure,To Your Arms of Love,2007,"Baby, I understand da reason why you're leavin'
But dat doesn't make it any easier to bear
I know dat I played dis game a fool wen I was cheatin'
Now I'm cryin'
(Now I'm cryin')

Said I lost it, my intentions was not clear
(Was not clear)
But I was messin' wit' your feelin's, I didn't care
But I love you
(But I love you)
But I love you, yeah
(But I love you)

So I'll cry if you won't take me there
(If you won't take me there)
To your arms of love
(To your arms)

So I'll cry if you won't take me there
(If you won't take me there)
To your arms of love, yeah, yeah, baby, yeah
(To your arms)
(To your arms of love)

Sunshiny days, brighten my life
Again, again
(To your arms)
Wen I'm with you, I feel so alive forever
'Cause wen I am down, down and out
You lift me up off my route

'Cause, baby, I will
(Baby, I will)
Love you until forever forever we'll be
You and I for all time
We'll be, we'll be
So I'll cry if you won't take me there
(If you won't take me there)
To your arms of love
(To your arms)
So I'll cry if you won't take me there
(If you won't take me there)
baby i will loving you till forever and every i will always love u",happy
TRAOATJ128F147FC9B.h5,Phil Collins,I Cannot Believe It's True,1982,"When I opened your letter yesterday
I could not believe my eyes
'Cause I've already given all I have to give
And I think it must have slipped your mind

But I remember not so long ago
I gave it all, it's gone and I gave it all to you
Now I'm living on borrowed time, but it's mine
Oh do you hear me?

I cannot believe it's true
Are you really doing the things you do?
No I cannot believe it's you, really you

Oh these people I'm talking to don't understand
Don't seem to realize
They're listening but they're not hearing me
They're being too cruel to be kind

Any kind of feeling that I had is gone
'Cause I gave it all, it's gone and I gave it all to you
Now I'm living on borrowed time, but it's mine
Oh do you hear me?

I cannot believe it's true
Are you really doing the things you do?
No I cannot believe it's you, really you

Over and over
I keep on telling myself
Over and over
I hope I'm gonna wake up

Over and over
I know it's really happening
And there's nothing that I can say
'Cos nothing can change all the things that you've done to me
Nothing can make me stay

Oh 'cause you know I cannot believe it's true
Are you really doing the things you do?
No I cannot believe it's you, really you

I know it's a crying shame, it's all the same to you
It seems all so well laid out  but I cannot get through
Never meant it to show
It started happening, that's all you know

Oh I gave it all to you
Now I'm living on borrowed time, but it's mine
Oh do you hear me?

I cannot believe it's true
Are you really doing the things you do?
No I cannot believe it's you, really you

Over and over
I keep on telling myself
Over and over
I hope I'm gonna wake up

Over and over
I know it's really happening
And there's nothing that I can say
'Cos nothing can change all the things that you've done to me
Nothing can make me stay

'Cause you know I cannot believe it's true
Are you really doing the things you do?
No I cannot believe it's you, really you",sad
TRAQTBF12903CCC1B7.h5,Cockney Rejects,Oi! Oi! Oi!,1997,"Hear that cry throughout the streets, you know just what it means
But even to the ignorant it ain't what it seems
From every shitty backstreet, the kids from all around
They all come an' join the firm because they know that sound

But they all try to ignore us
But we won't let 'em win
The wankers try to put us down
But we will smash them in

'Cause we all say that they are full of shit
And we're running down the backstreet oi, oi, oi
And we're running and we're free oi, oi, oi

'Cause we all know that that's the sound of the streets
And we're running down the backstreet oi, oi, oi
With Dr. Martins on our feet oi, oi, oi
And you're all running down the back streets with me

The kids they come from everywhere, the east ends all around
'Cause they all know what
Just what it means when they hear that sound
So you know what to do, do, when you hear the call

Put your boots and Harries on and kick down that fucking wall
You can listen to the politicians, they'll lead you astray
But you're gonna see light an' you're gonna see the way

'Cause we all know that there's nothing like us
And we're running down the backstreet oi, oi, oi
And we're never giving in oi, oi, oi

'Cause we all know that we're gonna fucking win
And we're running down the backstreet oi, oi, oi
And we're to stay oi, oi, oi
And we all know that the firm are on their way

But they all try to ignore us
But we won't let 'em win
The wankers try to put us down
But we will smash them in

'Cause we all say that they are full of shit
And we're running down the backstreet oi, oi, oi
And we're running and we're free oi, oi, oi
'Cause we all know that that's the sound of the streets

And we're running down the backstreet oi, oi, oi
With Dr. Martins on our feet oi, oi, oi
And you're all running down the back streets with me",happy
TRAVRTO128F4280C14.h5,Future Leaders of the World,Spotlight,2004,"Tell you mother to have her vision examined
Tell your practitioner to practice famine
Children wearing suits hold briefcase family feuds
In juke box radio tunes, coming to a store near you

We're gonna pull you in, never gonna let you out
Make sure you know your way in a crowd
Freedom only costs as much as you can buy
They'll sell you whole life in pieces, rest till you die

So buy a life and sell a teen prophecy
Glam horror mock silver screen guillotine
Put the whole family on trial tonight
Turn the television off and turn on the lights with me
Take [Incomprehensible]

We're gonna pull you in, never gonna let you out
Make sure you know your way in a crowd
Freedom only costs as much as you can buy
They'll sell you whole life in pieces, rest till you die

We're gonna pull you in, never gonna let you out
Make sure you know your way in a crowd
Freedom only costs as much as you can buy
They'll sell you whole life in pieces, rest till you die

Billboards advertise magazines
Record our memories, rape our dreams
In Hollywood faces burnt like dollar bills
Trade your drugs for my pills, Mr. Capital Hill
Sell me war, you're a king now
Get up in the spotlight, get up in the spotlight

We're gonna pull you in, never gonna let you out
Make sure you know your way in a crowd
Freedom only costs as much as you can buy
They'll sell your whole life in pieces, rest till you die

We're gonna pull you in, never gonna let you out
Make sure you know your way in a crowd
Freedom only costs as much as you can buy
They'll sell you whole life in pieces, rest till you die

Spotlight, the spotlight crowd
We're in the spotlight, the spotlight crowd
Spotlight, the spotlight crowd
We're in the spotlight",sad
TRAENGX12903CBDFF6.h5,The Pineapple Thief,Snowdrops,2006,"The day breaks your battered heart,
The sun rips your world apart,
And we will see it fall,
Yeah we will see it fall

Live each day if it is your last,
The life lost in a photograph,
And we will join them all,
Yeah we join them all

We are just falling snow,
So settle down, settle down
And I will slow your fall,
That is all, that is all

We are just falling snow,
Just settle down, just settle down,
And I will slow your fall,
That is all, that is all

We are both falling snow,
So settle down, just settle down,
And in amongst them all,
The little man, stands tall",sad
TRAAGPF12903CE027E.h5,Slim Whitman,Indian Love Call,1990,"Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
When I'm calling you
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo
Will you answer too?
Oo-Oo-Oo-Oo, Oo-Oo-Oo-Oo

That means I offer my love to you to be your own
If you refuse me I will be blue, waiting all alone

But if when you hear my love call ringing clear
Oo-Oo-Oo-Oo
And I hear your answering echo so dear
Oo-Oo-Oo-Oo
Then I will know our love will become true
You'll belong to me I'll belong too you",sad
TRAXRSK128F42B44D2.h5,Bad Religion,Infected,1994,"Now here I go, hope I don't break down
I won't take anything, I don't need anything
Don't want to exist, I can't persist
Please stop before I do it again

Just talk about nothing, let's talk about nothing
Let's talk about no one, please talk about no one, someone, anyone

You and me have a disease
You affect me, you infect me
I'm affected, you're addicted
You and me, you and me

I'm on the edge, get against the wall
I'm so distracted, I love to strike you
Here's my confession, you learned your lesson
Stop me before I do it again

Just talk about nothing, let's talk about nothing
Let's talk about no one, please talk about no one, someone, anyone

You and me have a disease
You affect me, you infect me
I'm affected, you're addicted
You and me, you and me

You're clear, as a heavy lead curtain wanna drill you
Like an ocean we can work it out
I've been running out, now I'm running out
Don't be mad about it baby

Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah

I want to tie you, crucify you
Kneel before you, revile your body
You and me, we're made in heaven
I want to take you, I want to break you
Supplicate you, you thought you know that

You and me are a miracle
I want to bathe you in holy water
I want to kill you upon the alter
You and me, you and me",sad
TRAQPHD128F4226E5E.h5,Soulwax,Soul Simplicity,1996,"Try me
You heard me
Standing there
I don't agree
Before being crushed
This is a call
Soul Simplicity
No need to rush
This is the soul of a new identity
Can't You See
Why so mean
Chorus
I Feel
You do it to yourself
Noone gets out
Stop competing with God Come to me
On my knees
I Feel they
Whisper at me",happy
TRAPVGB128F42725AF.h5,The Ataris,I Won't Spend Another Night Alone,1999,"A star up in the sky goes slowly passing by
The lights below... they spell out your name.
You're comfort on my mind and you're with me all the time.
And lots of feelings that I can't explain.

I won't spend another night alone.
I won't spend another night alone.

Out of every girl I meet, no other can compete
I'd ditch 'em all for a night with you.
I know you don't believe you mean this much to me
But I promise you that you do.

If I had one wish this is what it would be...
I'd ask you to spend all your time with me,
That we'd be together forever.
We'd buy a small house in south central L.A.
Raise lots of kids then we'd both join a gang
Just as long as we're together.

The things you make me wanna do
I'd rob a quik-e mart for you
I'd go to the pound and let all the cats go free
Just as long as you'd be with me.

I won't spend another night alone.
I won't spend another night alone.

...Yeah...",happy
TRASWIV128E0788A84.h5,The Smashing Pumpkins,Real Love,2000,"Fall in to the century of supersonic cross
Blessed, she in aching silence eternal loss
Calling out ""I won't surrender,"" a locket of her hair
Sympathize her pious pleasures
Go down the stairs into the dark again
To feel alive again, and wait for

Real love or is it me you're after?
Is it time? Because it's now or never
Real love, real love forever
Real love born of the fallen chain
Into a world sustained with sorrow
Real love, a real touch we speak in
Is it lies or is what we're seeking?
Real love

In the eyes, behold, and you'll find the 21st century
You detonate her will and her widowed speech
Buried in the backyard shadow, the rusty coffee tin
That held her mother's first kiss in a nameless dream

Fall down the stairs again
To feel alive again, it's tomorrow
Real love or is it me you're after?
Is it time? 'Cause it's now or never
Real love, real love forever
Is it love or just yours to treasure?
Real love, real love, real love

We never listen, real love will listen
And tell of a fortune, real love is riches
Scratch through the changes, real love is nameless
So tired and hopeless, real love is painless

Nobody mentions
We ever move to collect
The solar questions
Demon scorn should not relax
The laws of gravity
Real love",happy
TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease,1997,"Ain't no love
Ain't no love
Ain't no love
Ain't no love

We're missing in action living in a time when it's in fashion
To be gun flashing, blasting that's why we ain't lasting
All fastened, strapped ready for rivals harassing
Looking over your shoulder ducking cars that are passing
In my rumbo you hear that latin lingo
Guns shoot through at pachucos fuckin? sickos
With four nickels nobody walks around single
Get caught slipping they'll pull your card from a window
It's that simple locals get gaffled by barrio locos
Steal their spanish grease making them shed a tear like willie bobo
Over dollars, chains and rings things that are worth poco
A coco's out there stealing 'cause they're fiending for perico
A head crack will strike and attack for a sack
Pawn or sell your shit to buy a rock and bring that high back
That's why I strap it's my defense against those
Who are committing defense randomly becoming foes?
Shit is survival of fittest testing who's biggest and realest on the street
Feel this beware of killers, stealers and dealers
Rebel guerillas striking on policemen who give us
Hard times in the city where no love is with us

Ain't no love
Ain't no love
In the city?
In the city?

Ain't no love
Ain't no love
Ain't no love
Ain't no love
In the city
In the city
In the city
In the city

Ain't no love",sad
TRBGDQS128F9341414.h5,Gary Go,Open Arms,2009,"What ever happened to truth? Lost without a trace.
Whatever happened to the mirror, that showed me a happy face?
Whatever happened to sorry? You know it's never too late.
Whatever happened to good things coming, Coming to those who wait?
Whatever happened to this city? it's not like it used to be...
Whatever happened to me?

Whatever happened to living without fear?
Whatever happened to peace all over, it's such a strong idea.
Whatever happened to our future? 'cause I can see it in the rear view
Whatever happened to me?
Whatever happened to you?

Got to look ourselves in the eye,
And say it's gonna be alright.
Maybe everything won't be all right all the time.
Got to take these chances where they lie.
It's gonna be alright.
Gotta see things for, what they are at the time.

Lost with no place to begin.
I slowly adjust to this unjust space I'm in.
Whatever happened to the list, of things I wanted to be?
Whatever happened to you? Whatever happened to me?

Got to look ourselves in the eye,
And say it's gonna be alright.
Maybe everything won't be all right all the time.
Got to take these chances where they lie.
It's gonna be alright.
Gotta see things for, what they are at the time,
At the time.

You're the water I'm the seed, ready to receive,
I'm the ocean, you're the stream, ready to receive,
It's like open arms to me, ready to, ready to receive.

I've got to look myself in the eye,
And say it's gonna be alright.
Maybe everything won't be all right all the time, no.
Got to take these chances where they lie.
It's gonna be alright.
Gotta see things for, what they are at the time,
Oh I've gotta see things for what they are at the time,
Woah at the time.",sad
